AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728095851|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728095851|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728095852|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728095852|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728095852|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728095852|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728095853|SAT-AC|info|nvl 1:(EnviarDadosVenda):977361 CF-e-SAT CFe35200703476811015264590003462880190606772971 gerado com sucesso
20200728095853|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100110|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100110|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100110|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100111|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100111|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100112|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100113|SAT-AC|info|nvl 1:(EnviarDadosVenda):977462 CF-e-SAT CFe35200703476811015264590003462880190619558159 gerado com sucesso
20200728100113|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100231|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100231|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100231|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100232|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100232|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100232|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100233|SAT-AC|info|nvl 1:(EnviarDadosVenda):977654 CF-e-SAT CFe35200703476811015264590003462880190629241093 gerado com sucesso
20200728100233|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100307|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100307|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100307|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100308|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100308|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100308|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100309|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100309|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100314|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100314|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100314|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100315|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100315|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100402|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100402|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100402|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100403|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100403|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100403|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100404|SAT-AC|info|nvl 1:(EnviarDadosVenda):978126 CF-e-SAT CFe35200703476811015264590003462880190639112040 gerado com sucesso
20200728100404|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100457|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100457|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100457|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100457|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100457|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100458|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100459|SAT-AC|info|nvl 1:(EnviarDadosVenda):978320 CF-e-SAT CFe35200703476811015264590003462880190641342929 gerado com sucesso
20200728100459|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100526|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100526|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100526|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100526|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100526|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100526|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100527|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100527|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100528|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100528|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100528|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100529|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100529|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100618|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100618|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100618|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100619|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100619|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100619|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100620|SAT-AC|info|nvl 1:(EnviarDadosVenda):978888 CF-e-SAT CFe35200703476811015264590003462880190659720356 gerado com sucesso
20200728100620|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100647|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100647|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100647|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100648|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100648|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100648|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100649|SAT-AC|info|nvl 1:(EnviarDadosVenda):979121 CF-e-SAT CFe35200703476811015264590003462880190666318142 gerado com sucesso
20200728100649|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100733|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100733|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100733|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100734|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100734|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100734|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728100735|SAT-AC|info|nvl 1:(EnviarDadosVenda):979240 CF-e-SAT CFe35200703476811015264590003462880190671516437 gerado com sucesso
20200728100735|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728100832|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100832|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100832|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100832|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100832|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100833|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100833|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100833|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100842|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100842|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100842|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100843|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100843|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100843|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100844|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728100844|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728100848|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728100848|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728100848|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728100849|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
