-
AT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112531|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112531|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201017112531|SAT|info|nvl 2:(CFeRecepcao) falha no envio do lote de movimento 49 para a SEFAZ
20201017112536|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112548|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112549|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112549|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112549|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112557|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112557|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112557|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112557|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112609|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112609|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112609|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112609|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112617|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112617|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112617|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112617|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112629|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112629|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112629|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112629|SEFAZ-SAT|erro|nvl 0:(CFeStatus) nao foi possivel estabelecer conexao com a SEFAZ
20201017112629|SAT-SEFAZ|erro|nvl 0:(CFeStatus) falha de comunicacao com a SEFAZ
20201017112629|SAT|info|nvl 2:(CFeStatus) aguarda proxima verificacao (tempo:050300)
20201017112629|SAT|info|nvl 2:(diagnostico) tipo LAN: IPFIX
20201017112629|SAT|info|nvl 2:(diagnostico) IP: 010.010.010.202
20201017112629|SAT|info|nvl 2:(diagnostico) IP mascara: 255.255.255.000
20201017112629|SAT|info|nvl 2:(diagnostico) IP gateway: 010.010.010.252
20201017112629|SAT|info|nvl 2:(diagnostico) MAC: 02:01:00:94:12:35
20201017112629|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.105.186.005
20201017112629|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.106.068.066
20201017112630|SAT|info|nvl 2:(diagnostico) cupons pendentes de transmissao: 3699
20201017112630|SAT|info|nvl 2:(diagnostico) cupons pendentes de verificação: 0
20201017112630|SAT|info|nvl 2:(diagnostico) estado de operacao: desbloqueado
20201017112630|SAT|info|nvl 2:(diagnostico) 0x01cc
20201017112638|SAT|erro|nvl 0:falha no acesso NTP, servidor nao encontrado
20201017112638|SAT|erro|nvl 1:falha na sincronizacao do relogio
20201017112638|SAT|info|nvl 2:(CFeStatus) forcado envio de status para a SEFAZ
20201017112640|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112647|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112647|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112647|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112647|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201017112647|SAT|info|nvl 2:(CFeRecepcao) falha no envio do lote de movimento 50 para a SEFAZ
20201017112648|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112657|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 30
20201017112657|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Error observed by underlying SSL/TLS BIO: Connection reset by peer
20201017112657|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect error in tcp_connect()
20201017112657|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112700|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112700|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112700|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112700|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112720|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112720|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112720|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112720|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112720|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112720|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112720|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112720|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112741|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112741|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112741|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112741|SEFAZ-SAT|erro|nvl 0:(CFeStatus) nao foi possivel estabelecer conexao com a SEFAZ
20201017112741|SAT-SEFAZ|erro|nvl 0:(CFeStatus) falha de comunicacao com a SEFAZ
20201017112741|SAT|info|nvl 2:(CFeStatus) aguarda proxima verificacao (tempo:050300)
20201017112741|SAT|info|nvl 2:(diagnostico) tipo LAN: IPFIX
20201017112741|SAT|info|nvl 2:(diagnostico) IP: 010.010.010.202
20201017112741|SAT|info|nvl 2:(diagnostico) IP mascara: 255.255.255.000
20201017112742|SAT|info|nvl 2:(diagnostico) IP gateway: 010.010.010.252
20201017112742|SAT|info|nvl 2:(diagnostico) MAC: 02:01:00:94:12:35
20201017112742|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.105.186.005
20201017112742|SAT|info|nvl 2:(diagnostico) Servidor DNS: 010.106.068.066
20201017112742|SAT|info|nvl 2:(diagnostico) cupons pendentes de transmissao: 3699
20201017112742|SAT|info|nvl 2:(diagnostico) cupons pendentes de verificação: 0
20201017112742|SAT|info|nvl 2:(diagnostico) estado de operacao: desbloqueado
20201017112742|SAT|info|nvl 2:(diagnostico) 0x01cc
20201017112750|SAT|erro|nvl 0:falha no acesso NTP, servidor nao encontrado
20201017112750|SAT|erro|nvl 1:falha na sincronizacao do relogio
20201017112750|SAT|info|nvl 2:(CFeStatus) forcado envio de status para a SEFAZ
20201017112750|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201017112750|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Timeout
20201017112750|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: SSL_connect failed in tcp_connect()
20201017112750|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201017112751|SAT|info|nvl 2:(CFeRecepcao) falha no envio do lote de movimento 51 para a SEFAZ
20201017112752|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112753|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201017112812|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: codigo: 28
20201017112812|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: motivo: Timeout
20201017112812|SEFAZ-SAT|erro|nvl 0:(CFeStatus) diagnostico SOAP: detail: connect failed in tcp_connect()
20201017112812|SAT-SEFAZ|info|nvl 2:(CFeStatus):0.08 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeStatus/CfeStatus.asmx
20201017112813|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
