-
SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130509|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130514|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130518|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019130518|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130520|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130525|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130531|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130536|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130541|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130547|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130548|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130548|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130548|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130548|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130552|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130558|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130603|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130609|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130614|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130618|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130618|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130618|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130618|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130619|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130625|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130630|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130636|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130641|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130646|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130648|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130648|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130648|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130648|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019130648|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019130652|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130657|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130703|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130708|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019130708|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130709|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130714|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130720|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130725|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130731|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130736|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130738|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130738|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130738|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130738|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130742|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130747|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130753|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130758|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130803|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130809|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130809|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130809|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130809|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019130809|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130814|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
