loja;regiao;divisao;centro;uf
00002;NORTE;PROPRIA;CDA;SP
00003;LESTE;PROPRIA;CDM;SP
00006;SUL;PROPRIA;CDA;SP
00009;LESTE;PROPRIA;CDM;SP
00011;NORTE;PROPRIA;CDA;SP
00013;OESTE;PROPRIA;CDI;SP
00014;LESTE;PROPRIA;CDM;SP
00016;ABCDM;FRANQUIA;CDM;SP
00017;NORTE;PROPRIA;CDA;SP
00019;CENTRO;PROPRIA;CDA;SP
00023;LESTE;PROPRIA;CDM;SP
00024;NORTE;FRANQUIA;CDA;SP
00025;INTERIOR;PROPRIA;CDI;SP
00027;NORTE;PROPRIA;CDA;SP
00028;ABCDM;FRANQUIA;CDM;SP
00029;INTERIOR;PROPRIA;CDI;SP
00031;LESTE;PROPRIA;CDM;SP
00033;NORTE;PROPRIA;CDA;SP
00036;LESTE;PROPRIA;CDM;SP
00037;ABCDM;PROPRIA;CDM;SP
00039;NORTE;FRANQUIA;CDA;SP
00040;LESTE;PROPRIA;CDM;SP
00043;LESTE;PROPRIA;CDM;SP
00044;LESTE;PROPRIA;CDM;SP
00051;INTERIOR;FRANQUIA;CDI;SP
00056;LESTE;PROPRIA;CDM;SP
00058;ABCDM;FRANQUIA;CDM;SP
00061;SUL;PROPRIA;CDM;SP
00062;NORTE;FRANQUIA;CDA;SP
00063;LESTE ;PROPRIA;CDM;SP
00064;LESTE;PROPRIA;CDM;SP
00066;INTERIOR;PROPRIA;CDI;SP
00067;LESTE;PROPRIA;CDM;SP
00069;LESTE;PROPRIA;CDM;SP
00070;ABCDM;PROPRIA;CDM;SP
00072;SUL;PROPRIA;CDM;SP
00075;INTERIOR;FRANQUIA;CDI;SP
00077;LESTE;PROPRIA;CDM;SP
00080;LESTE;PROPRIA;CDM;SP
00081;LESTE;PROPRIA;CDM;SP
00082;SUL;PROPRIA;CDA;SP
00085;INTERIOR;FRANQUIA;CDI;SP
00086;LESTE;PROPRIA;CDM;SP
00087;NORTE;PROPRIA;CDA;SP
00088;SUL;FRANQUIA;CDA;SP
00089;SUL;PROPRIA;CDA;SP
00095;NORTE;PROPRIA;CDA;SP
00096;NORTE;FRANQUIA;CDA;SP
00100;OESTE;PROPRIA;CDA;SP
00101;LESTE;PROPRIA;CDM;SP
00103;INTERIOR;PROPRIA;CDI;SP
00106;INTERIOR;PROPRIA;CDR;SP
00109;VALE;PROPRIA;CDM;SP
00110;ABCDM;PROPRIA;CDM;SP
00112;LESTE;PROPRIA;CDM;SP
00117;NORTE;PROPRIA;CDA;SP
00118;LESTE;PROPRIA;CDM;SP
00119;ABCDM;PROPRIA;CDM;SP
